9,959387
9,958878
9,957521
9,955391
9,95397
9,968056
9,993983
10,029507
10,07559
10,133533
10,200177
10,271172
10,346289
10,426871
10,516289
10,617589
10,71863
10,818298
10,916083
11,011404
11,104163
11,193721
11,279717
11,361906
11,440116
11,515504
11,588815
11,659163
11,725627
11,788174
11,846758
11,901413
11,952164
11,998711
12,041809
12,081867
12,118978
12,153975
12,18711
12,219265
12,25083
12,282212
12,313961
12,345963
12,378147
12,4105015
12,45723
12,520727
12,582742
12,642006
12,698586
12,751908
12,80213
12,848604
12,891511
12,930641
12,965835
12,9964485
13,022162
13,042917
13,058292
13,070355
13,090226
13,111262
13,126832
13,136322
13,138629
13,13433
13,122992
13,104709
13,079904
13,048442
13,010445
12,9657
12,914578
12,856752
12,792431
12,72167
12,644544
12,561255
12,47199
12,377001
12,276785
12,171262
12,061035
11,952215
11,852987
11,758287
11,663603
11,564996
11,462267
11,35574
11,24558
11,1318445
11,014835
10,894922
10,772805
10,656631
10,549677
10,459522
10,377449
10,298559
10,221687
10,146242
10,071951
9,998816
9,927155
9,857273
9,795251
9,75453
9,735118
9,726807
9,725275
9,726762
9,730124
9,73446
9,73932
9,744044
9,748122
9,751002
9,752276
9,751611
9,748749
9,74347
9,735665
9,725084
9,711983
9,696061
9,677354
9,655868
9,631888
9,605468
9,576781
9,545988
9,513473
9,47981
9,445934
9,412851
9,383183
9,355537
9,326138
9,295907
9,265246
9,235652
9,206981
9,179605
9,154912
9,133487
9,115229
9,099936
9,0875845
9,077376
9,068806
9,062943
9,059457
9,057601
9,057068
9,0575905
9,059665
9,073905
9,094255
9,1177225
9,143764
9,1716795
9,201509
9,234414
9,268495
9,300824
9,331105
9,359422
9,385543
9,409487
9,431337
9,450969
9,468265
9,483046
9,495316
9,504956
9,512023
9,518337
9,525754
9,531931
9,535921
9,5372
9,53521
9,529773
9,520499
9,507269
9,4900465
9,469405
9,446128
9,4206705
9,39373
9,36676
9,341217
9,315405
9,288414
9,26052
9,231956
9,203585
9,175814
9,149297
9,124703
9,103032
